FREQ;Frekvens;BASE_CUR;Basisvaluta;QUOTE_CUR;Kvoteringsvaluta;TENOR;Løpetid;DECIMALS;CALCULATED;UNIT_MULT;Multiplikator;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-02;41,66
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-05;41,68
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-06;41,91
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-07;42,12
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-08;41,91
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-09;41,49
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-12;41,76
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-13;41,52
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-14;41,59
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-15;41,63
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-16;41,69
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-19;41,65
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-20;41,68
B;Virkedag;MXN;Meksikanske peso;NOK;Norske kroner;SP;Spot;2;false;2;Hundre;C;ECB concertation tidspunkt 14:15 CET;2018-11-21;42,08
